"ID","date_start","date_stop","tr_type","number_inspections","total_rides","fraction","empirical_b"
1,2019-04-10,2019-04-10,2,0,1,0,0.615384615384615
2,2019-04-10,2019-04-10,3,0,1,0,0.444444444444444
3,2019-04-09,2019-04-09,2,0,2,0,0.571428571428571
4,2019-04-09,2019-04-09,3,0,2,0,0.4
5,2019-04-08,2019-04-08,2,0,2,0,0.571428571428571
6,2019-04-08,2019-04-08,3,0,2,0,0.4
7,2019-04-11,2019-04-11,2,0,2,0,0.571428571428571
8,2019-04-10,2019-04-10,3,0,1,0,0.444444444444444
9,2019-04-10,2019-04-10,2,0,1,0,0.615384615384615
10,2019-04-11,2019-04-11,2,0,1,0,0.615384615384615
11,2019-04-12,2019-04-12,2,0,1,0,0.615384615384615
12,2019-04-12,2019-04-12,3,0,1,0,0.444444444444444
13,2019-04-12,2019-04-12,2,0,1,0,0.615384615384615
14,2019-04-12,2019-04-12,3,0,1,0,0.444444444444444
15,2019-04-13,2019-04-13,3,0,1,0,0.444444444444444
16,2019-04-13,2019-04-13,2,0,1,0,0.615384615384615
17,2019-04-14,2019-04-14,2,0,1,0,0.615384615384615
18,2019-04-15,2019-04-15,2,1,3,0.333333333333333,0.6
19,2019-04-16,2019-04-16,2,1,3,0.333333333333333,0.6
20,2019-04-20,2019-04-20,2,0,1,0,0.615384615384615
21,2019-05-15,2019-05-15,2,1,2,0.5,0.642857142857143
22,2019-05-14,2019-05-14,2,1,2,0.5,0.642857142857143
23,2019-05-13,2019-05-13,2,1,2,0.5,0.642857142857143
24,2019-05-11,2019-05-11,2,1,2,0.5,0.642857142857143
25,2019-05-12,2019-05-12,2,0,1,0,0.615384615384615
26,2019-05-10,2019-05-10,2,0,3,0,0.533333333333333
27,2019-05-10,2019-05-10,3,0,2,0,0.4
28,2019-04-27,2019-04-27,2,2,4,0.5,0.625
29,2019-05-15,2019-05-15,3,0,4,0,0.333333333333333
